Sex,Race,Age,CRF,BMI,Risk,Range
F,Caucasian,80,1,30,25, (19-29)
F,Caucasian,80,2,30,34, (24-44)
F,Caucasian,80,3,30,47, (34-59)
F,Caucasian,80,4,30,60, (48-72)
F,Caucasian,80,5,30,72, (62-79)
F,Caucasian,80,6,30,81,
F,Caucasian,80,0,35,15,
F,Caucasian,80,1,35,21, (16-24)
F,Caucasian,80,2,35,29, (20-37)
F,Caucasian,80,3,35,41, (29-52)
F,Caucasian,80,4,35,53, (41-66)
F,Caucasian,80,5,35,66, (56-74)
F,Caucasian,80,6,35,77,
F,Caucasian,80,0,40,13,
F,Caucasian,80,1,40,18, (13-21)
F,Caucasian,80,2,40,25, (17-32)
F,Caucasian,80,3,40,35, (24-45)
F,Caucasian,80,4,40,47, (35-59)
F,Caucasian,80,5,40,60, (50-69)
F,Caucasian,80,6,40,72,
F,Caucasian,80,0,45,11,
F,Caucasian,80,1,45,15, (11-18)
F,Caucasian,80,2,45,21, (14-27)
F,Caucasian,80,3,45,30, (20-39)
F,Caucasian,80,4,45,41, (30-52)
F,Caucasian,80,5,45,53, (44-62)
F,Caucasian,80,6,45,66,
F,Caucasian,85,0,15,28,
F,Caucasian,85,1,15,40, (31-54)
F,Caucasian,85,2,15,53, (40-67)
F,Caucasian,85,3,15,64, (50-76)
F,Caucasian,85,4,15,73, (62-81)
F,Caucasian,85,5,15,79, (72-82)
F,Caucasian,85,6,15,81,
F,Caucasian,85,0,20,25,
F,Caucasian,85,1,20,36, (28-47)
F,Caucasian,85,2,20,48, (35-62)
F,Caucasian,85,3,20,61, (47-73)
F,Caucasian,85,4,20,72, (60-80)
F,Caucasian,85,5,20,79, (71-84)
F,Caucasian,85,6,20,83,
F,Caucasian,85,0,25,23,
F,Caucasian,85,1,25,32, (25-39)
F,Caucasian,85,2,25,44, (31-54)
F,Caucasian,85,3,25,57, (43-68)
F,Caucasian,85,4,25,69, (57-79)
F,Caucasian,85,5,25,78, (70-84)
F,Caucasian,85,6,25,84,
F,Caucasian,85,0,30,19,
F,Caucasian,85,1,30,27, (21-33)
F,Caucasian,85,2,30,38, (26-47)
F,Caucasian,85,3,30,50, (37-62)
F,Caucasian,85,4,30,63, (50-74)
F,Caucasian,85,5,30,74, (64-80)
F,Caucasian,85,6,30,81,
F,Caucasian,85,0,35,16,
F,Caucasian,85,1,35,23, (17-28)
F,Caucasian,85,2,35,32, (22-41)
F,Caucasian,85,3,35,44, (31-55)
F,Caucasian,85,4,35,56, (43-68)
F,Caucasian,85,5,35,68, (58-76)
F,Caucasian,85,6,35,77,
F,Caucasian,85,0,40,14,
F,Caucasian,85,1,40,20, (15-23)
F,Caucasian,85,2,40,27, (19-35)
F,Caucasian,85,3,40,38, (27-48)
F,Caucasian,85,4,40,50, (37-62)
F,Caucasian,85,5,40,62, (51-71)
F,Caucasian,85,6,40,73,
F,Caucasian,85,0,45,12,
F,Caucasian,85,1,45,17, (12-19)
F,Caucasian,85,2,45,23, (16-30)
F,Caucasian,85,3,45,32, (22-42)
F,Caucasian,85,4,45,43, (32-55)
F,Caucasian,85,5,45,56, (45-64)
F,Caucasian,85,6,45,67,
F,Caucasian,90,0,15,23,
F,Caucasian,90,1,15,34, (25-47)
F,Caucasian,90,2,15,46, (33-61)
F,Caucasian,90,3,15,58, (43-71)
F,Caucasian,90,4,15,68, (54-77)
F,Caucasian,90,5,15,74, (66-78)
F,Caucasian,90,6,15,76,
F,Caucasian,90,0,20,21,
F,Caucasian,90,1,20,31, (23-41)
F,Caucasian,90,2,20,42, (30-56)
F,Caucasian,90,3,20,54, (40-68)
F,Caucasian,90,4,20,66, (52-75)
F,Caucasian,90,5,20,74, (64-80)
F,Caucasian,90,6,20,79,
F,Caucasian,90,0,25,20,
F,Caucasian,90,1,25,28, (21-35)
F,Caucasian,90,2,25,38, (27-49)
F,Caucasian,90,3,25,51, (37-63)
F,Caucasian,90,4,25,63,(50-73)
F,Caucasian,90,5,25,73, (62-79)
F,Caucasian,90,6,25,80,
F,Caucasian,90,0,30,17,
F,Caucasian,90,1,30,24, (18-30)
F,Caucasian,90,2,30,33, (23-42)
F,Caucasian,90,3,30,44, (31-56)
F,Caucasian,90,4,30,56, (43-68)
F,Caucasian,90,5,30,68, (56-75)
F,Caucasian,90,6,30,76,
F,Caucasian,90,0,35,14,
F,Caucasian,90,1,35,20, (15-25)
F,Caucasian,90,2,35,28, (19-36)
F,Caucasian,90,3,35,38, (26-49)
F,Caucasian,90,4,35,50, (37-61)
F,Caucasian,90,5,35,62, (50-70)
F,Caucasian,90,6,35,72,
F,Caucasian,90,0,40,12,
F,Caucasian,90,1,40,17, (12-20)
F,Caucasian,90,2,40,23, (16-31)
F,Caucasian,90,3,40,32, (22-43)
F,Caucasian,90,4,40,43, (31-55)
F,Caucasian,90,5,40,55, (44-64)
F,Caucasian,90,6,40,66,
F,Caucasian,90,0,45,9.9,
F,Caucasian,90,1,45,14, (10-17)
F,Caucasian,90,2,45,20, (13-26)
F,Caucasian,90,3,45,27, (18-36)
F,Caucasian,90,4,45,37, (26-48)
F,Caucasian,90,5,45,48, (38-58)
F,Caucasian,90,6,45,60,
