"","Sex","Race","Age","CRF","BMI","Risk","Range_upper","Range_lower"
"553","Male","Caucasian",60,6,20,45,0,0
"554","Male","Caucasian",60,0,25,5,0,0
"555","Male","Caucasian",60,1,25,7.6,5.2,10
"556","Male","Caucasian",60,2,25,11,6.3,19
"557","Male","Caucasian",60,3,25,17,8.7,28
"558","Male","Caucasian",60,4,25,23,14,36
"559","Male","Caucasian",60,5,25,32,24,42
"560","Male","Caucasian",60,6,25,43,0,0
"561","Male","Caucasian",60,0,30,4.4,0,0
"562","Male","Caucasian",60,1,30,6.7,4.5,8.7
"563","Male","Caucasian",60,2,30,9.9,5.5,17
"564","Male","Caucasian",60,3,30,14,7.5,25
"565","Male","Caucasian",60,4,30,21,12,32
"566","Male","Caucasian",60,5,30,29,21,37
"567","Male","Caucasian",60,6,30,39,0,0
"568","Male","Caucasian",60,0,35,3.8,0,0
"569","Male","Caucasian",60,1,35,5.8,3.9,7.6
"570","Male","Caucasian",60,2,35,8.6,4.7,15
"571","Male","Caucasian",60,3,35,13,6.5,22
"572","Male","Caucasian",60,4,35,18,10,28
"573","Male","Caucasian",60,5,35,25,18,33
"574","Male","Caucasian",60,6,35,34,0,0
"575","Male","Caucasian",60,0,40,3.3,0,0
"576","Male","Caucasian",60,1,40,5.1,3.4,6.6
"577","Male","Caucasian",60,2,40,7.5,4.1,13
"578","Male","Caucasian",60,3,40,11,5.6,19
"579","Male","Caucasian",60,4,40,16,8.7,25
"580","Male","Caucasian",60,5,40,22,16,30
"581","Male","Caucasian",60,6,40,30,0,0
"582","Male","Caucasian",60,0,45,2.9,0,0
"583","Male","Caucasian",60,1,45,4.4,3,5.8
"584","Male","Caucasian",60,2,45,6.6,3.6,11
"585","Male","Caucasian",60,3,45,9.6,4.8,17
"586","Male","Caucasian",60,4,45,14,7.5,22
"587","Male","Caucasian",60,5,45,19,14,26
"588","Male","Caucasian",60,6,45,27,0,0
"589","Male","Caucasian",65,0,15,6,0,0
"590","Male","Caucasian",65,1,15,9.1,6.4,12
"591","Male","Caucasian",65,2,15,13,8.4,20
"592","Male","Caucasian",65,3,15,19,13,28
"593","Male","Caucasian",65,4,15,27,19,38
"594","Male","Caucasian",65,5,15,37,28,46
"595","Male","Caucasian",65,6,15,47,0,0
"596","Male","Caucasian",65,0,20,5.7,0,0
"597","Male","Caucasian",65,1,20,8.6,6,11
"598","Male","Caucasian",65,2,20,13,7.6,20
"599","Male","Caucasian",65,3,20,18,11,29
"600","Male","Caucasian",65,4,20,26,17,38
"601","Male","Caucasian",65,5,20,35,27,45
"602","Male","Caucasian",65,6,20,46,0,0
"603","Male","Caucasian",65,0,25,5.6,0,0
"604","Male","Caucasian",65,1,25,8.4,5.8,11
"605","Male","Caucasian",65,2,25,12,7.2,20
"606","Male","Caucasian",65,3,25,18,10,29
"607","Male","Caucasian",65,4,25,25,16,37
"608","Male","Caucasian",65,5,25,34,26,44
"609","Male","Caucasian",65,6,25,45,0,0
"610","Male","Caucasian",65,0,30,4.8,0,0
"611","Male","Caucasian",65,1,30,7.3,5,9.4
"612","Male","Caucasian",65,2,30,11,6.1,17
"613","Male","Caucasian",65,3,30,15,8.6,26
"614","Male","Caucasian",65,4,30,22,13,33
"615","Male","Caucasian",65,5,30,30,23,39
"616","Male","Caucasian",65,6,30,40,0,0
"617","Male","Caucasian",65,0,35,4.2,0,0
"618","Male","Caucasian",65,1,35,6.3,4.3,8.1
"619","Male","Caucasian",65,2,35,9.3,5.2,15
"620","Male","Caucasian",65,3,35,13,7.3,22
"621","Male","Caucasian",65,4,35,19,11,29
"622","Male","Caucasian",65,5,35,26,20,35
"623","Male","Caucasian",65,6,35,35,0,0
"624","Male","Caucasian",65,0,40,3.6,0,0
"625","Male","Caucasian",65,1,40,5.4,3.7,7.1
"626","Male","Caucasian",65,2,40,8,4.5,13
"627","Male","Caucasian",65,3,40,12,6.2,20
"628","Male","Caucasian",65,4,40,16,9.6,26
"629","Male","Caucasian",65,5,40,23,17,30
"630","Male","Caucasian",65,6,40,31,0,0
"631","Male","Caucasian",65,0,45,3.1,0,0
"632","Male","Caucasian",65,1,45,4.7,3.2,6.2
"633","Male","Caucasian",65,2,45,6.9,3.9,12
"634","Male","Caucasian",65,3,45,10,5.3,17
"635","Male","Caucasian",65,4,45,14,8.1,23
"636","Male","Caucasian",65,5,45,20,15,27
"637","Male","Caucasian",65,6,45,27,0,0
"638","Male","Caucasian",70,0,15,7.2,0,0
"639","Male","Caucasian",70,1,15,11,7.8,14
"640","Male","Caucasian",70,2,15,16,10,23
"641","Male","Caucasian",70,3,15,23,15,33
"642","Male","Caucasian",70,4,15,32,22,43
"643","Male","Caucasian",70,5,15,43,37,52
"644","Male","Caucasian",70,6,15,54,0,0
"645","Male","Caucasian",70,0,20,6.7,0,0
"646","Male","Caucasian",70,1,20,9.8,7.2,13
"647","Male","Caucasian",70,2,20,14,9.3,21
"648","Male","Caucasian",70,3,20,21,14,30
"649","Male","Caucasian",70,4,20,30,21,41
"650","Male","Caucasian",70,5,20,40,34,50
"651","Male","Caucasian",70,6,20,52,0,0
"652","Male","Caucasian",70,0,25,6.3,0,0
"653","Male","Caucasian",70,1,25,9.2,6.7,12
"654","Male","Caucasian",70,2,25,13,8.5,19
"655","Male","Caucasian",70,3,25,19,12,28
"656","Male","Caucasian",70,4,25,27,19,38
"657","Male","Caucasian",70,5,25,37,30,46
"658","Male","Caucasian",70,6,25,49,0,0
"659","Male","Caucasian",70,0,30,5.4,0,0
"660","Male","Caucasian",70,1,30,7.8,5.7,10
"661","Male","Caucasian",70,2,30,11,7.1,16
"662","Male","Caucasian",70,3,30,16,10,24
"663","Male","Caucasian",70,4,30,23,16,33
"664","Male","Caucasian",70,5,30,32,26,40
"665","Male","Caucasian",70,6,30,43,0,0
"666","Male","Caucasian",70,0,35,4.6,0,0
"667","Male","Caucasian",70,1,35,6.7,4.8,8.7
"668","Male","Caucasian",70,2,35,9.6,6,14
"669","Male","Caucasian",70,3,35,14,8.6,21
"670","Male","Caucasian",70,4,35,19,13,28
"671","Male","Caucasian",70,5,35,27,22,35
"672","Male","Caucasian",70,6,35,37,0,0
"673","Male","Caucasian",70,0,40,4,0,0
"674","Male","Caucasian",70,1,40,5.7,4.1,7.5
"675","Male","Caucasian",70,2,40,8.2,5.1,12
"676","Male","Caucasian",70,3,40,12,7.2,18
"677","Male","Caucasian",70,4,40,16,11,24
"678","Male","Caucasian",70,5,40,23,18,30
"679","Male","Caucasian",70,6,40,32,0,0
"680","Male","Caucasian",70,0,45,3.4,0,0
"681","Male","Caucasian",70,1,45,4.9,3.5,6.4
"682","Male","Caucasian",70,2,45,6.9,4.3,10
"683","Male","Caucasian",70,3,45,9.9,6.1,15
"684","Male","Caucasian",70,4,45,14,9.2,21
"685","Male","Caucasian",70,5,45,20,15,26
"686","Male","Caucasian",70,6,45,27,0,0
"687","Male","Caucasian",75,0,15,9,0,0
"688","Male","Caucasian",75,1,15,14,9.8,21
"689","Male","Caucasian",75,2,15,22,13,33
"690","Male","Caucasian",75,3,15,31,18,46
"691","Male","Caucasian",75,4,15,42,27,55
"692","Male","Caucasian",75,5,15,54,40,63
"693","Male","Caucasian",75,6,15,65,0,0
"694","Male","Caucasian",75,0,20,8.2,0,0
"695","Male","Caucasian",75,1,20,13,8.9,17
"696","Male","Caucasian",75,2,20,19,12,28
"697","Male","Caucasian",75,3,20,28,17,40
"698","Male","Caucasian",75,4,20,39,26,52
"699","Male","Caucasian",75,5,20,52,39,61
"700","Male","Caucasian",75,6,20,63,0,0
"701","Male","Caucasian",75,0,25,7.6,0,0
"702","Male","Caucasian",75,1,25,11,8.1,14
"703","Male","Caucasian",75,2,25,17,11,23
"704","Male","Caucasian",75,3,25,25,16,35
"705","Male","Caucasian",75,4,25,35,23,48
"706","Male","Caucasian",75,5,25,48,37,58
"707","Male","Caucasian",75,6,25,61,0,0
"708","Male","Caucasian",75,0,30,6.3,0,0
"709","Male","Caucasian",75,1,30,9.3,6.8,11
"710","Male","Caucasian",75,2,30,14,8.8,19
"711","Male","Caucasian",75,3,30,20,13,29
"712","Male","Caucasian",75,4,30,30,19,41
"713","Male","Caucasian",75,5,30,41,31,51
"714","Male","Caucasian",75,6,30,54,0,0
"715","Male","Caucasian",75,0,35,5.3,0,0
"716","Male","Caucasian",75,1,35,7.8,5.6,9.6
"717","Male","Caucasian",75,2,35,11,7.3,16
"718","Male","Caucasian",75,3,35,17,11,24
"719","Male","Caucasian",75,4,35,25,16,35
"720","Male","Caucasian",75,5,35,35,26,44
"721","Male","Caucasian",75,6,35,47,0,0
"722","Male","Caucasian",75,0,40,4.5,0,0
"723","Male","Caucasian",75,1,40,6.5,4.7,8.1
"724","Male","Caucasian",75,2,40,9.5,6,13
"725","Male","Caucasian",75,3,40,14,8.8,20
"726","Male","Caucasian",75,4,40,20,13,29
"727","Male","Caucasian",75,5,40,29,22,37
"728","Male","Caucasian",75,6,40,41,0,0
"729","Male","Caucasian",75,0,45,3.8,0,0
"730","Male","Caucasian",75,1,45,5.4,3.9,6.9
"731","Male","Caucasian",75,2,45,7.9,5,11
"732","Male","Caucasian",75,3,45,12,7.3,17
"733","Male","Caucasian",75,4,45,17,11,24
"734","Male","Caucasian",75,5,45,24,18,31
"735","Male","Caucasian",75,6,45,34,0,0
"736","Male","Caucasian",80,0,15,12,0,0
"737","Male","Caucasian",80,1,15,18,13,27
"738","Male","Caucasian",80,2,15,26,17,39
"739","Male","Caucasian",80,3,15,36,23,50
"740","Male","Caucasian",80,4,15,47,32,60
"741","Male","Caucasian",80,5,15,58,44,66
"742","Male","Caucasian",80,6,15,68,0,0
"743","Male","Caucasian",80,0,20,11,0,0
"744","Male","Caucasian",80,1,20,16,12,23
"745","Male","Caucasian",80,2,20,24,16,35
"746","Male","Caucasian",80,3,20,34,22,47
"747","Male","Caucasian",80,4,20,45,31,56
"748","Male","Caucasian",80,5,20,56,42,65
"749","Male","Caucasian",80,6,20,66,0,0
"750","Male","Caucasian",80,0,25,9.8,0,0
"751","Male","Caucasian",80,1,25,15,11,19
"752","Male","Caucasian",80,2,25,21,14,29
"753","Male","Caucasian",80,3,25,31,20,41
"754","Male","Caucasian",80,4,25,42,29,53
"755","Male","Caucasian",80,5,25,54,41,63
"756","Male","Caucasian",80,6,25,65,0,0
"757","Male","Caucasian",80,0,30,8.1,0,0
"758","Male","Caucasian",80,1,30,12,8.7,16
"759","Male","Caucasian",80,2,30,18,11,24
"760","Male","Caucasian",80,3,30,26,17,35
"761","Male","Caucasian",80,4,30,35,24,47
"762","Male","Caucasian",80,5,30,47,35,56
"763","Male","Caucasian",80,6,30,58,0,0
"764","Male","Caucasian",80,0,35,6.8,0,0
"765","Male","Caucasian",80,1,35,9.9,7.1,13
"766","Male","Caucasian",80,2,35,15,9.4,20
"767","Male","Caucasian",80,3,35,21,14,29
"768","Male","Caucasian",80,4,35,30,20,40
"769","Male","Caucasian",80,5,35,40,30,49
"770","Male","Caucasian",80,6,35,52,0,0
"771","Male","Caucasian",80,0,40,5.6,0,0
"772","Male","Caucasian",80,1,40,8.2,5.9,10
"773","Male","Caucasian",80,2,40,12,7.7,16
"774","Male","Caucasian",80,3,40,17,11,24
"775","Male","Caucasian",80,4,40,25,16,34
"776","Male","Caucasian",80,5,40,34,25,43
"777","Male","Caucasian",80,6,40,45,0,0
"778","Male","Caucasian",80,0,45,4.7,0,0
"779","Male","Caucasian",80,1,45,6.8,4.8,8.4
"780","Male","Caucasian",80,2,45,9.8,6.3,13
"781","Male","Caucasian",80,3,45,14,8.9,20
"782","Male","Caucasian",80,4,45,20,13,28
"783","Male","Caucasian",80,5,45,29,21,36
"784","Male","Caucasian",80,6,45,39,0,0
"785","Male","Caucasian",85,0,15,14,0,0
"786","Male","Caucasian",85,1,15,21,15,32
"787","Male","Caucasian",85,2,15,30,20,45
"788","Male","Caucasian",85,3,15,41,27,56
"789","Male","Caucasian",85,4,15,53,37,65
"790","Male","Caucasian",85,5,15,63,50,70
"791","Male","Caucasian",85,6,15,71,0,0
"792","Male","Caucasian",85,0,20,12,0,0
"793","Male","Caucasian",85,1,20,19,13,27
"794","Male","Caucasian",85,2,20,27,18,40
"795","Male","Caucasian",85,3,20,38,25,52
"796","Male","Caucasian",85,4,20,50,35,62
"797","Male","Caucasian",85,5,20,61,47,69
"798","Male","Caucasian",85,6,20,70,0,0
"799","Male","Caucasian",85,0,25,11,0,0
"800","Male","Caucasian",85,1,25,16,12,22
"801","Male","Caucasian",85,2,25,24,16,33
"802","Male","Caucasian",85,3,25,34,23,46
"803","Male","Caucasian",85,4,25,46,33,58
"804","Male","Caucasian",85,5,25,58,45,67
"805","Male","Caucasian",85,6,25,69,0,0
"806","Male","Caucasian",85,0,30,9,0,0
"807","Male","Caucasian",85,1,30,13,9.7,18
"808","Male","Caucasian",85,2,30,20,13,28
"809","Male","Caucasian",85,3,30,29,19,39
"810","Male","Caucasian",85,4,30,40,27,51
"811","Male","Caucasian",85,5,30,52,39,61
"812","Male","Caucasian",85,6,30,63,0,0
"813","Male","Caucasian",85,0,35,7.4,0,0
"814","Male","Caucasian",85,1,35,11,7.9,15
"815","Male","Caucasian",85,2,35,16,11,23
"816","Male","Caucasian",85,3,35,24,15,33
"817","Male","Caucasian",85,4,35,34,23,44
"818","Male","Caucasian",85,5,35,45,33,54
"819","Male","Caucasian",85,6,35,57,0,0
"820","Male","Caucasian",85,0,40,6.1,0,0
"821","Male","Caucasian",85,1,40,9.1,6.4,12
"822","Male","Caucasian",85,2,40,13,8.5,19
"823","Male","Caucasian",85,3,40,20,12,27
"824","Male","Caucasian",85,4,40,28,18,38
"825","Male","Caucasian",85,5,40,38,27,47
"826","Male","Caucasian",85,6,40,50,0,0
"827","Male","Caucasian",85,0,45,5.1,0,0
"828","Male","Caucasian",85,1,45,7.4,5.3,9.6
"829","Male","Caucasian",85,2,45,11,6.9,15
"830","Male","Caucasian",85,3,45,16,9.9,23
"831","Male","Caucasian",85,4,45,23,15,32
"832","Male","Caucasian",85,5,45,32,23,40
"833","Male","Caucasian",85,6,45,43,0,0
"834","Male","Caucasian",90,0,15,12,0,0
"835","Male","Caucasian",90,1,15,19,13,29
"836","Male","Caucasian",90,2,15,28,18,42
"837","Male","Caucasian",90,3,15,39,25,53
"838","Male","Caucasian",90,4,15,50,35,62
"839","Male","Caucasian",90,5,15,61,47,68
"840","Male","Caucasian",90,6,15,68,0,0
"841","Male","Caucasian",90,0,20,10,0,0
"842","Male","Caucasian",90,1,20,16,11,25
"843","Male","Caucasian",90,2,20,24,16,37
"844","Male","Caucasian",90,3,20,35,22,48
"845","Male","Caucasian",90,4,20,47,32,58
"846","Male","Caucasian",90,5,20,59,44,67
"847","Male","Caucasian",90,6,20,68,0,0
"848","Male","Caucasian",90,0,25,9.4,0,0
"849","Male","Caucasian",90,1,25,14,10,20
"850","Male","Caucasian",90,2,25,22,14,31
"851","Male","Caucasian",90,3,25,31,20,43
"852","Male","Caucasian",90,4,25,43,29,54
"853","Male","Caucasian",90,5,25,55,41,64
"854","Male","Caucasian",90,6,25,66,0,0
"855","Male","Caucasian",90,0,30,7.7,0,0
"856","Male","Caucasian",90,1,30,12,8.2,17
"857","Male","Caucasian",90,2,30,18,11,25
"858","Male","Caucasian",90,3,30,26,16,36
"859","Male","Caucasian",90,4,30,36,24,47
"860","Male","Caucasian",90,5,30,48,34,57
"861","Male","Caucasian",90,6,30,60,0,0
"862","Male","Caucasian",90,0,35,6.2,0,0
"863","Male","Caucasian",90,1,35,9.4,6.6,13
"864","Male","Caucasian",90,2,35,14,9,21
"865","Male","Caucasian",90,3,35,21,13,30
"866","Male","Caucasian",90,4,35,30,20,41
"867","Male","Caucasian",90,5,35,41,29,50
"868","Male","Caucasian",90,6,35,54,0,0
"869","Male","Caucasian",90,0,40,5.1,0,0
"870","Male","Caucasian",90,1,40,7.6,5.3,11
"871","Male","Caucasian",90,2,40,12,7.2,17
"872","Male","Caucasian",90,3,40,17,10,25
"873","Male","Caucasian",90,4,40,25,16,34
"874","Male","Caucasian",90,5,40,35,24,43
"875","Male","Caucasian",90,6,40,47,0,0
"876","Male","Caucasian",90,0,45,4.2,0,0
"877","Male","Caucasian",90,1,45,6.2,4.3,8.4
"878","Male","Caucasian",90,2,45,9.3,5.8,13
"879","Male","Caucasian",90,3,45,14,8.2,20
"880","Male","Caucasian",90,4,45,20,13,28
"881","Male","Caucasian",90,5,45,29,19,37
"882","Male","Caucasian",90,6,45,40,0,0
"883","Female","Black",50,0,15,1.8,0,0
"884","Female","Black",50,1,15,2.9,2,4.2
"885","Female","Black",50,2,15,4.6,2.5,7.7
"886","Female","Black",50,3,15,7.2,3.5,13
"887","Female","Black",50,4,15,11,6.1,18
"888","Female","Black",50,5,15,17,11,22
"889","Female","Black",50,6,15,25,0,0
"890","Female","Black",50,0,20,1.7,0,0
"891","Female","Black",50,1,20,2.7,1.8,3.7
"892","Female","Black",50,2,20,4.1,2.2,7.1
"893","Female","Black",50,3,20,6.4,3.1,12
"894","Female","Black",50,4,20,9.7,5.2,16
"895","Female","Black",50,5,20,14,9.5,19
"896","Female","Black",50,6,20,21,0,0
"897","Female","Black",50,0,25,1.6,0,0
"898","Female","Black",50,1,25,2.5,1.7,3.5
"899","Female","Black",50,2,25,3.9,2.1,6.8
"900","Female","Black",50,3,25,6,2.8,11
"901","Female","Black",50,4,25,8.9,4.7,15
"902","Female","Black",50,5,25,13,8.9,18
"903","Female","Black",50,6,25,19,0,0
"904","Female","Black",50,0,30,1.4,0,0
"905","Female","Black",50,1,30,2.2,1.5,3
"906","Female","Black",50,2,30,3.4,1.8,6
"907","Female","Black",50,3,30,5.2,2.5,9.6
"908","Female","Black",50,4,30,7.8,4,13
"909","Female","Black",50,5,30,11,7.8,15
"910","Female","Black",50,6,30,17,0,0
"911","Female","Black",50,0,35,1.3,0,0
"912","Female","Black",50,1,35,1.9,1.3,2.7
"913","Female","Black",50,2,35,3,1.6,5.3
"914","Female","Black",50,3,35,4.5,2.1,8.5
"915","Female","Black",50,4,35,6.8,3.5,11
"916","Female","Black",50,5,35,10,6.8,14
"917","Female","Black",50,6,35,14,0,0
"918","Female","Black",50,0,40,1.1,0,0
"919","Female","Black",50,1,40,1.7,1.1,2.3
"920","Female","Black",50,2,40,2.6,1.4,4.6
"921","Female","Black",50,3,40,4,1.9,7.4
"922","Female","Black",50,4,40,5.9,3,9.9
"923","Female","Black",50,5,40,8.7,5.9,12
"924","Female","Black",50,6,40,13,0,0
"925","Female","Black",50,0,45,1,0,0
"926","Female","Black",50,1,45,1.5,1,2
"927","Female","Black",50,2,45,2.3,1.2,4.1
"928","Female","Black",50,3,45,3.5,1.6,6.5
"929","Female","Black",50,4,45,5.2,2.6,8.7
"930","Female","Black",50,5,45,7.6,5.2,10
"931","Female","Black",50,6,45,11,0,0
"932","Female","Black",55,0,15,2.8,0,0
"933","Female","Black",55,1,15,4.4,3.1,6.3
"934","Female","Black",55,2,15,7,3.9,11
"935","Female","Black",55,3,15,11,5.6,18
"936","Female","Black",55,4,15,16,9.6,25
"937","Female","Black",55,5,15,24,16,31
"938","Female","Black",55,6,15,35,0,0
"939","Female","Black",55,0,20,2.6,0,0
"940","Female","Black",55,1,20,4.1,2.8,5.6
"941","Female","Black",55,2,20,6.3,3.5,11
"942","Female","Black",55,3,20,9.6,4.9,17
"943","Female","Black",55,4,20,14,8.1,23
"944","Female","Black",55,5,20,21,14,27
"945","Female","Black",55,6,20,30,0,0
"946","Female","Black",55,0,25,2.6,0,0
"947","Female","Black",55,1,25,4,2.7,5.3
"948","Female","Black",55,2,25,6,3.2,10
"949","Female","Black",55,3,25,9,4.4,16
"950","Female","Black",55,4,25,13,7.3,21
"951","Female","Black",55,5,25,19,14,26
"952","Female","Black",55,6,25,27,0,0
"953","Female","Black",55,0,30,2.2,0,0
"954","Female","Black",55,1,30,3.5,2.3,4.6
"955","Female","Black",55,2,30,5.3,2.8,9
"956","Female","Black",55,3,30,7.9,3.8,14
"957","Female","Black",55,4,30,12,6.3,19
"958","Female","Black",55,5,30,17,12,22
"959","Female","Black",55,6,30,24,0,0
"960","Female","Black",55,0,35,2,0,0
"961","Female","Black",55,1,35,3,2,4
"962","Female","Black",55,2,35,4.6,2.5,7.9
"963","Female","Black",55,3,35,6.9,3.3,13
"964","Female","Black",55,4,35,10,5.5,17
"965","Female","Black",55,5,35,15,10,20
"966","Female","Black",55,6,35,21,0,0
"967","Female","Black",55,0,40,1.7,0,0
"968","Female","Black",55,1,40,2.6,1.8,3.5
"969","Female","Black",55,2,40,4,2.1,7
"970","Female","Black",55,3,40,6,2.9,11
"971","Female","Black",55,4,40,8.9,4.7,15
"972","Female","Black",55,5,40,13,9.1,17
"973","Female","Black",55,6,40,18,0,0
"974","Female","Black",55,0,45,1.5,0,0
"975","Female","Black",55,1,45,2.3,1.6,3.1
"976","Female","Black",55,2,45,3.5,1.9,6.1
"977","Female","Black",55,3,45,5.3,2.5,9.7
"978","Female","Black",55,4,45,7.8,4.1,13
"979","Female","Black",55,5,45,11,7.9,15
"980","Female","Black",55,6,45,16,0,0
"981","Female","Black",60,0,15,3.9,0,0
"982","Female","Black",60,1,15,6.1,4.3,8.3
"983","Female","Black",60,2,15,9.4,5.5,15
"984","Female","Black",60,3,15,14,8.1,23
"985","Female","Black",60,4,15,21,14,31
"986","Female","Black",60,5,15,31,22,39
"987","Female","Black",60,6,15,43,0,0
"988","Female","Black",60,0,20,3.6,0,0
"989","Female","Black",60,1,20,5.5,3.8,7.4
"990","Female","Black",60,2,20,8.4,4.8,14
"991","Female","Black",60,3,20,13,6.8,21
"992","Female","Black",60,4,20,19,11,29
"993","Female","Black",60,5,20,27,19,34
"994","Female","Black",60,6,20,38,0,0
"995","Female","Black",60,0,25,3.4,0,0
"996","Female","Black",60,1,25,5.2,3.6,6.9
"997","Female","Black",60,2,25,7.9,4.4,13
"998","Female","Black",60,3,25,12,6.1,20
"999","Female","Black",60,4,25,17,10,27
"1000","Female","Black",60,5,25,24,18,32
"1001","Female","Black",60,6,25,34,0,0
"1002","Female","Black",60,0,30,3,0,0
"1003","Female","Black",60,1,30,4.6,3.1,6
"1004","Female","Black",60,2,30,6.9,3.8,12
"1005","Female","Black",60,3,30,10,5.2,18
"1006","Female","Black",60,4,30,15,8.6,24
"1007","Female","Black",60,5,30,21,16,28
"1008","Female","Black",60,6,30,30,0,0
"1009","Female","Black",60,0,35,2.6,0,0
"1010","Female","Black",60,1,35,4,2.7,5.2
"1011","Female","Black",60,2,35,6,3.3,10
"1012","Female","Black",60,3,35,8.9,4.5,16
"1013","Female","Black",60,4,35,13,7.4,21
"1014","Female","Black",60,5,35,19,14,25
"1015","Female","Black",60,6,35,26,0,0
"1016","Female","Black",60,0,40,2.3,0,0
"1017","Female","Black",60,1,40,3.5,2.4,4.5
"1018","Female","Black",60,2,40,5.2,2.9,8.9
"1019","Female","Black",60,3,40,7.8,3.9,14
"1020","Female","Black",60,4,40,11,6.4,18
"1021","Female","Black",60,5,40,16,12,22
"1022","Female","Black",60,6,40,23,0,0
"1023","Female","Black",60,0,45,2,0,0
"1024","Female","Black",60,1,45,3,2.1,4
"1025","Female","Black",60,2,45,4.6,2.5,7.8
"1026","Female","Black",60,3,45,6.8,3.4,12
"1027","Female","Black",60,4,45,10,5.5,16
"1028","Female","Black",60,5,45,14,10,19
"1029","Female","Black",60,6,45,20,0,0
"1030","Female","Black",65,0,15,5,0,0
"1031","Female","Black",65,1,15,7.7,5.6,10
"1032","Female","Black",65,2,15,12,7.4,17
"1033","Female","Black",65,3,15,18,11,27
"1034","Female","Black",65,4,15,26,18,36
"1035","Female","Black",65,5,15,36,28,45
"1036","Female","Black",65,6,15,49,0,0
"1037","Female","Black",65,0,20,4.5,0,0
"1038","Female","Black",65,1,20,6.9,4.9,8.9
"1039","Female","Black",65,2,20,10,6.2,16
"1040","Female","Black",65,3,20,15,9,25
"1041","Female","Black",65,4,20,23,15,33
"1042","Female","Black",65,5,20,32,24,40
"1043","Female","Black",65,6,20,44,0,0
"1044","Female","Black",65,0,25,4.2,0,0
"1045","Female","Black",65,1,25,6.4,4.5,8.2
"1046","Female","Black",65,2,25,9.6,5.5,15
"1047","Female","Black",65,3,25,14,7.8,24
"1048","Female","Black",65,4,25,20,13,31
"1049","Female","Black",65,5,25,29,22,37
"1050","Female","Black",65,6,25,40,0,0
"1051","Female","Black",65,0,30,3.6,0,0
"1052","Female","Black",65,1,30,5.5,3.8,7.1
"1053","Female","Black",65,2,30,8.3,4.7,13
"1054","Female","Black",65,3,30,12,6.6,21
"1055","Female","Black",65,4,30,18,11,27
"1056","Female","Black",65,5,30,25,19,33
"1057","Female","Black",65,6,30,35,0,0
"1058","Female","Black",65,0,35,3.1,0,0
"1059","Female","Black",65,1,35,4.8,3.3,6.2
"1060","Female","Black",65,2,35,7.2,4.1,12
"1061","Female","Black",65,3,35,11,5.7,18
"1062","Female","Black",65,4,35,15,9.3,24
"1063","Female","Black",65,5,35,22,16,29
"1064","Female","Black",65,6,35,30,0,0
"1065","Female","Black",65,0,40,2.7,0,0
"1066","Female","Black",65,1,40,4.2,2.9,5.4
"1067","Female","Black",65,2,40,6.2,3.5,10
"1068","Female","Black",65,3,40,9.2,4.9,16
"1069","Female","Black",65,4,40,13,7.9,21
"1070","Female","Black",65,5,40,19,14,25
"1071","Female","Black",65,6,40,27,0,0
"1072","Female","Black",65,0,45,2.4,0,0
"1073","Female","Black",65,1,45,3.6,2.5,4.7
"1074","Female","Black",65,2,45,5.4,3,9
"1075","Female","Black",65,3,45,8,4.2,14
"1076","Female","Black",65,4,45,12,6.8,19
"1077","Female","Black",65,5,45,17,12,22
"1078","Female","Black",65,6,45,23,0,0
"1079","Female","Black",70,0,15,6.7,0,0
"1080","Female","Black",70,1,15,10,7.7,13
"1081","Female","Black",70,2,15,16,10,22
"1082","Female","Black",70,3,15,24,16,34
"1083","Female","Black",70,4,15,35,25,47
"1084","Female","Black",70,5,15,48,42,57
"1085","Female","Black",70,6,15,62,0,0
"1086","Female","Black",70,0,20,5.8,0,0
"1087","Female","Black",70,1,20,8.7,6.4,11
"1088","Female","Black",70,2,20,13,8.4,18
"1089","Female","Black",70,3,20,19,13,28
"1090","Female","Black",70,4,20,29,21,40
"1091","Female","Black",70,5,20,41,34,49
"1092","Female","Black",70,6,20,55,0,0
"1093","Female","Black",70,0,25,5.2,0,0
"1094","Female","Black",70,1,25,7.7,5.7,9.9
"1095","Female","Black",70,2,25,11,7.2,16
"1096","Female","Black",70,3,25,16,10,25
"1097","Female","Black",70,4,25,24,17,34
"1098","Female","Black",70,5,25,34,28,42
"1099","Female","Black",70,6,25,47,0,0
"1100","Female","Black",70,0,30,4.5,0,0
"1101","Female","Black",70,1,30,6.6,4.8,8.5
"1102","Female","Black",70,2,30,9.6,6.1,14
"1103","Female","Black",70,3,30,14,8.7,21
"1104","Female","Black",70,4,30,20,14,29
"1105","Female","Black",70,5,30,29,24,36
"1106","Female","Black",70,6,30,41,0,0
"1107","Female","Black",70,0,35,3.9,0,0
"1108","Female","Black",70,1,35,5.6,4.1,7.3
"1109","Female","Black",70,2,35,8.2,5.2,12
"1110","Female","Black",70,3,35,12,7.4,18
"1111","Female","Black",70,4,35,17,12,25
"1112","Female","Black",70,5,35,25,20,31
"1113","Female","Black",70,6,35,35,0,0
"1114","Female","Black",70,0,40,3.3,0,0
"1115","Female","Black",70,1,40,4.8,3.5,6.3
"1116","Female","Black",70,2,40,7,4.4,10
"1117","Female","Black",70,3,40,10,6.2,16
"1118","Female","Black",70,4,40,15,10,22
"1119","Female","Black",70,5,40,21,17,27
"1120","Female","Black",70,6,40,30,0,0
"1121","Female","Black",70,0,45,2.9,0,0
